team.team_id,team.name,team.short_name,team.captain,team.coach,team.icon_file_name,team.profile,team.key_players
1,Brazil,BRA,0,Luiz Felipe Scolari,BRA.png,x,
2,Croatia,CRO,0,Niko Kovac,CRO.png,x,
3,Mexico,MEX,0,Miguel Herrera,MEX.png,x,
4,Cameroon,CMR,0,Volker Finke,CMR.png,x,
5,Spain,ESP,0,Vicente del Bosque,ESP.png,x,
6,Netherlands,NED,0,Louis Van Gaal,NED.png,x,
7,Chile,CHI,0,Jorge Sampaoli,CHI.png,x,
8,Australia,AUS,0,Ange Postecoglou,AUS.png,x,
9,Columbia,COL,0,Jose Pekerman,COL.png,x,
10,Greece,GRE,0,Fernando Santos,GRE.png,x,
11,Cote d Ivoire,CIV,0,Sabri Lamouchi,CIV.png,x,
12,Japan,JPN,0,Alberto Zaccheroni,JPN.png,x,
13,Uruguay,URU,0,Oscar Washington Tabarez,URU.png,x,
14,Costa Rica,CRC,0,Jorge Luis Pinto,CRC.png,x,
15,England,ENG,0,Roy Hodgson,ENG.png,x,
16,Italy,ITA,0,Cesare Prandelli,ITA.png,x,
17,Switzerland,SUI,0,Ottmar Hitzfeld,SUI.png,x,
18,Ecuador,ECU,0,Reinaldo Rueda,ECU.png,x,
19,France,FRA,0,Didier Deschamps,FRA.png,x,
20,Honduras,HON,0,Luis Fernando Suarez,HON.png,x,
21,Argentina,ARG,0,Alejandro Sabella,ARG.png,x,
22,Bosnia-Herzegovina,BIH,0,Safet Susic,BIH.png,x,
23,Iran,IRN,0,Carlos Queiroz,IRN.png,x,
24,Nigeria,NGA,0,Stephen Keshi,NGA.png,x,
25,Germany,GER,0,Joachim Low,GER.png,x,
26,Portugal,POR,0,Paulo Bento,POR.png,x,
27,Ghana,GHA,0,Kwesi Appiah,GHA.png,x,
28,USA,USA,0,Jurgen Klinsmann,USA.png,x,
29,Belgium,BEL,0,Marc Wilmots,BEL.png,x,
30,Algeria,ALG,0,Vahid Halilhodzic,ALG.png,x,
31,Russia,RUS,0,Fabio Capello,RUS.png,x,
32,Korea Republic,KOR,0,Hong Myungbo,KOR.png,x,
33,1A,1A,0,x,none,x,
34,2A,2A,0,x,none,x,
35,1B,1B,0,x,none,x,
36,2B,2B,0,x,none,x,
37,1C,1C,0,x,none,x,
38,2C,2C,0,x,none,x,
39,1D,1D,0,x,none,x,
40,2D,2D,0,x,none,x,
41,1E,1E,0,x,none,x,
42,2E,2E,0,x,none,x,
43,1F,1F,0,x,none,x,
44,2F,2F,0,x,none,x,
45,1G,1G,0,x,none,x,
46,2G,2G,0,x,none,x,
47,1H,1H,0,x,none,x,
48,2H,2H,0,x,none,x,
49,W49,W49,0,x,none,x,
50,W50,W50,0,x,none,x,
51,W51,W51,0,x,none,x,
52,W52,W52,0,x,none,x,
53,W53,W53,0,x,none,x,
54,W54,W54,0,x,none,x,
55,W55,W55,0,x,none,x,
56,W56,W56,0,x,none,x,
57,W57,W57,0,x,none,x,
58,W58,W58,0,x,none,x,
59,W59,W59,0,x,none,x,
60,W60,W60,0,x,none,x,
61,L61,L61,0,x,none,x,
62,L62,L62,0,x,none,x,
63,W61,W61,0,x,none,x,
64,W62,W62,0,x,none,x,